CCAA;PROVINCIAS;MUNICIPIO;TIPO DE DISPOSITIVO;UBICACION;DIRECCION;CODIGO POSTAL;LOCALIDAD;TELEFONO;HORARIO
PAÍS VASCO;BIZKAIA;Getxo;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD LAS ARENAS;C/ BIDEBARRIETA, Nº 10;48930;LAS ARENAS;Urgencias 112;Lunes a viernes: de 20h a 8h del día siguiente. Sábados, domingos y festivos: 24 horas.
PAÍS VASCO;BIZKAIA;Gorliz;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD GORLIZ;PLAZA JOSEBA ANDONI AGIRRE, Nº 1;48630;GORLIZ;Urgencias 112;Lunes a viernes: de 15h a 24h. Sábados, domingos y festivos: de 9 h a 24 h.
PAÍS VASCO;BIZKAIA;Karrantza Harana/Valle de Carranza;PUNTO DE ATENCIÓN CONTINUADA (PAC);CONSULTORIO LOCAL KARRANZA;BARRIO CONCHA, Nº 17;48891;KARRANTZA HARANA/VALLE DE CARRANZA;Urgencias 112;Lunes a viernes: de 17h a 8h del día siguiente. Sábados, domingos y festivos: 24 horas.
PAÍS VASCO;BIZKAIA;Lekeitio;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD LEKEITIO;BARRIO LARROTEGI, S/N;48280;LEKEITIO;Urgencias 112;Lunes a viernes: de 17h a 8h del día siguiente. Sábados, domingos y festivos: 24 horas.
PAÍS VASCO;BIZKAIA;Mungia;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD MUNGIA;LORADI ENPARANTZA, Nº 1;48100;MUNGIA;Urgencias 112;Lunes a viernes: de 20h a 8h del día siguiente. Sábados, domingos y festivos: 24 horas.
PAÍS VASCO;BIZKAIA;Ondarroa;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ONDARROA;IBAIONDO, Nº 6;48700;ONDARROA;Urgencias 112;Lunes a viernes: de 17h a 8h del día siguiente. Sábados, domingos y festivos: 24 horas.
PAÍS VASCO;BIZKAIA;Ortuella;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ORTUELLA;AVDA. DEL MINERO, S/N;48530;ORTUELLA;Urgencias 112;Sábados, domingos y festivos: de 9h a 21h.
PAÍS VASCO;BIZKAIA;Santurtzi;PUNTO DE ATENCIÓN CONTINUADA (PAC);PAC DE SANTURTZI - HOSPITAL SAN JUAN DE DIOS;AV CRISTÓBAL MURRIETA, Nº 70;48980;SANTURTZI;Urgencias 112;Urgencias 112	Lunes a viernes: de 17h a 8h del día siguiente. Sábados, domingos y festivos: 24 horas.
PAÍS VASCO;BIZKAIA;Sestao;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD MARKONZAGA; ANTONIO TRUEBA, Nº 15;48910;SESTAO;Urgencias 112;Lunes a viernes: de 17h a 8h del día siguiente. Sábados, domingos y festivos: 24 horas.
PAÍS VASCO;BIZKAIA;Zalla;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ZALLA;PLAZA EUSKADI, S/N;48860;ZALLA;Urgencias 112;Lunes a viernes: de 17h a 8h del día siguiente. Sábados, domingos y festivos: 24 horas.
